airline,route,pax-id,bundle-id,experience-name,num-interactions,time,headset-id,day,month,year,category
Iberia,Madrid-Tel Aviv,0,com.InflightVR.IFVRPlatform,com.InflightVR.IFVRPlatform,4,46902.0,9bcfae8417a6213f292f5690e05758c6,04,05,2018,CMP
Iberia,Madrid-Tel Aviv,0,com.InflightVR.NewsRoom,NewsRoom,1,68855.0,9bcfae8417a6213f292f5690e05758c6,04,05,2018,Info
Iberia,Madrid-Tel Aviv,0,com.InflightVR.360Player,Fiji,1,99115.0,9bcfae8417a6213f292f5690e05758c6,04,05,2018,360 Video
Iberia,Madrid-Tel Aviv,0,com.InflightVR.NewsRoom,NewsRoom,1,22649.0,9bcfae8417a6213f292f5690e05758c6,04,05,2018,Info
Iberia,Madrid-Tel Aviv,0,com.InflightVR.FlightInfo,FlightInfo,1,154921.0,9bcfae8417a6213f292f5690e05758c6,04,05,2018,Info
Iberia,Madrid-Tel Aviv,0,com.InflightVR.360Player,Caves Red Sea,1,15174.0,9bcfae8417a6213f292f5690e05758c6,04,05,2018,360 Video
Iberia,Madrid-Tel Aviv,0,com.InflightVR.360Player,Philippines Underwater,1,100372.0,9bcfae8417a6213f292f5690e05758c6,04,05,2018,360 Video
Iberia,Madrid-Tel Aviv,0,com.fiveminlab.toyclash.ifvr,ToyClash,1,75843.0,9bcfae8417a6213f292f5690e05758c6,04,05,2018,Games
Iberia,Madrid-Tel Aviv,1,com.InflightVR.IFVRPlatform,com.InflightVR.IFVRPlatform,4,49635.0,a9319e344c7211ad3b22ff4de020b5cc,09,04,2018,CMP
Iberia,Madrid-Tel Aviv,1,com.InflightVR.Shooter,Shooter,1,88712.0,a9319e344c7211ad3b22ff4de020b5cc,09,04,2018,Games
Iberia,Madrid-Tel Aviv,1,com.InflightVR.NewsRoom,NewsRoom,1,71953.0,a9319e344c7211ad3b22ff4de020b5cc,09,04,2018,Info
Iberia,Madrid-Tel Aviv,1,com.emcneill.Skylight,Skylight,1,116332.0,a9319e344c7211ad3b22ff4de020b5cc,09,04,2018,Games
Iberia,Madrid-Tel Aviv,1,com.InflightVR.360Player,com.Softmachine.SecretsOfGravity,1,134252.0,a9319e344c7211ad3b22ff4de020b5cc,09,04,2018,360 Video
Iberia,Madrid-Tel Aviv,1,com.InflightVR.IFVRCinema,Big Buck Bunny 3D,1,108859.0,a9319e344c7211ad3b22ff4de020b5cc,09,04,2018,Cinema
Small Planet Aero,Amsterdam-Lanzarote,0,com.InflightVR.IFVRPlatform,com.InflightVR.IFVRPlatform,4,47860.0,9bcfae8417a6213f292f5690e05758c6,16,04,2018,CMP
Small Planet Aero,Amsterdam-Lanzarote,0,com.InflightVR.360Player,com.Softmachine.SecretsOfGravity,1,149311.0,9bcfae8417a6213f292f5690e05758c6,16,04,2018,360 Video
Small Planet Aero,Amsterdam-Marsa Alam,0,com.InflightVR.IFVRPlatform,com.InflightVR.IFVRPlatform,4,41650.0,ea0e14cd8d27d78ee419b7c3bb37f252,14,04,2018,CMP
Small Planet Aero,Amsterdam-Marsa Alam,0,com.InflightVR.NewsRoom,NewsRoom,1,170851.0,ea0e14cd8d27d78ee419b7c3bb37f252,14,04,2018,Info
Small Planet Aero,Amsterdam-Marsa Alam,0,com.fiveminlab.toyclash.ifvr,ToyClash,1,143901.0,ea0e14cd8d27d78ee419b7c3bb37f252,14,04,2018,Games
Small Planet Aero,Amsterdam-Marsa Alam,0,com.fiveminlab.toyclash.ifvr,ToyClash,1,176086.0,ea0e14cd8d27d78ee419b7c3bb37f252,14,04,2018,Games
Small Planet Aero,Amsterdam-Marsa Alam,0,com.fiveminlab.toyclash.ifvr,ToyClash,1,175970.0,ea0e14cd8d27d78ee419b7c3bb37f252,14,04,2018,Games
Small Planet Aero,Amsterdam-Marsa Alam,0,com.InflightVR.360Player,Whale Shark,1,75771.0,ea0e14cd8d27d78ee419b7c3bb37f252,14,04,2018,360 Video
